team_name,avg_overall,avg_pace,avg_defending,avg_physic,top5_avg
France,84.5,79.0,80.0,79.5,89.0
Argentina,84.0,76.5,79.0,78.5,88.0
Brazil,83.5,81.0,78.5,77.0,87.5
England,84.0,78.5,78.0,78.0,88.5
Portugal,83.5,77.5,77.5,76.5,87.0
Spain,83.8,78.0,78.5,75.0,87.5
Germany,83.0,76.0,78.0,77.5,86.5
Netherlands,82.5,77.0,81.0,78.5,86.0
Belgium,80.5,76.0,75.0,74.5,84.5
Uruguay,80.0,76.0,76.0,79.0,84.0
Croatia,79.5,70.0,75.5,73.0,83.5
Morocco,79.0,77.0,75.0,74.0,83.0
Colombia,78.5,75.0,74.0,76.5,82.0
United States,78.0,78.0,72.0,75.0,81.5
Mexico,77.0,74.0,73.0,73.5,80.0
Japan,77.5,78.0,72.5,71.0,80.5
Senegal,77.0,78.0,73.0,76.0,81.0
Ivory Coast,77.5,76.5,73.5,77.0,81.5
Ecuador,76.5,76.0,74.0,76.0,80.0
South Korea,76.0,75.0,71.0,72.0,81.0
Sweden,77.0,75.0,73.0,74.0,81.0
Turkiye,77.5,74.5,73.0,73.5,81.0
Austria,77.0,73.5,73.0,75.0,80.5
Norway,78.0,75.5,72.0,75.0,86.0
Switzerland,77.5,73.0,74.5,74.5,81.5
Ghana,75.5,77.0,71.0,74.0,79.5
Algeria,76.0,74.5,71.0,73.0,80.0
Czech Republic,75.8,72.0,72.5,74.5,79.5
Egypt,74.5,73.0,68.0,70.0,80.5
Paraguay,74.5,73.5,72.0,73.5,78.0
Scotland,75.5,72.0,73.0,73.5,79.5
Bosnia and Herzegovina,73.5,69.0,70.0,71.0,77.0
DR Congo,73.0,75.0,69.0,72.5,76.5
Tunisia,72.5,71.0,70.0,71.0,76.0
South Africa,71.0,72.0,68.0,69.0,74.0
Australia,72.0,72.0,69.5,72.0,75.5
Iran,72.5,71.0,68.5,71.5,76.5
Saudi Arabia,71.5,72.0,67.0,68.5,74.5
Cape Verde,70.5,72.5,67.0,69.0,73.5
Uzbekistan,70.0,71.0,66.5,68.5,73.0
Panama,69.5,71.0,66.5,68.0,72.5
New Zealand,69.0,70.0,66.0,70.0,73.5
Qatar,68.5,70.5,64.0,66.0,72.0
Iraq,67.5,69.5,63.5,65.0,71.0
Jordan,67.5,70.0,63.0,65.5,71.0
Curaçao,67.0,70.5,63.5,65.5,70.5
Haiti,67.0,71.0,63.0,66.0,70.5
