team_name,avg_club_matches,ucl_players_count,days_since_last_match,fatigue_index
Algeria,25.7,1.0,18.0,0.6770334928229665
Argentina,36.3,7.0,18.0,0.9545454545454546
Australia,25.5,0.0,18.0,0.6722488038277512
Austria,23.7,0.0,18.0,0.6244019138755981
Belgium,34.1,10.0,18.0,0.8971291866028709
Bosnia and Herzegovina,24.5,1.0,18.0,0.6435406698564593
Brazil,39.1,9.0,18.0,1.028708133971292
Cape Verde,26.7,1.0,18.0,0.7033492822966507
Colombia,31.0,4.0,18.0,0.8157894736842105
Croatia,34.3,6.0,18.0,0.9019138755980861
Curaçao,26.2,0.0,18.0,0.6889952153110048
Czech Republic,26.7,1.0,18.0,0.7033492822966507
DR Congo,25.7,0.0,18.0,0.6770334928229665
Ecuador,27.5,2.0,18.0,0.7248803827751197
Egypt,25.3,0.0,18.0,0.6650717703349283
England,42.2,12.0,18.0,1.1100478468899522
France,42.2,12.0,18.0,1.1100478468899522
Germany,38.7,10.0,18.0,1.0191387559808611
Ghana,25.7,0.0,18.0,0.6770334928229665
Haiti,24.1,0.0,18.0,0.6339712918660286
Iran,23.9,0.0,18.0,0.6291866028708134
Iraq,24.6,1.0,18.0,0.6483253588516746
Ivory Coast,31.0,2.0,18.0,0.8157894736842105
Japan,30.1,2.0,18.0,0.7918660287081339
Jordan,25.6,3.0,18.0,0.6746411483253588
Mexico,25.0,1.0,18.0,0.6578947368421053
Morocco,32.5,5.0,18.0,0.854066985645933
Netherlands,38.0,7.0,18.0,1.0
New Zealand,24.7,1.0,18.0,0.6507177033492823
Norway,34.3,8.0,18.0,0.9019138755980861
Panama,24.9,0.0,18.0,0.6555023923444976
Paraguay,24.5,1.0,18.0,0.6435406698564593
Portugal,39.1,7.0,18.0,1.028708133971292
Qatar,24.0,1.0,18.0,0.631578947368421
Saudi Arabia,25.0,1.0,18.0,0.6578947368421053
Scotland,25.1,0.0,18.0,0.6602870813397129
Senegal,33.1,2.0,18.0,0.8708133971291867
South Africa,25.9,0.0,18.0,0.6818181818181819
South Korea,27.6,0.0,18.0,0.7272727272727273
Spain,42.3,12.0,18.0,1.11244019138756
Sweden,25.6,1.0,18.0,0.6746411483253588
Switzerland,31.0,2.0,18.0,0.8157894736842105
Tunisia,26.7,0.0,18.0,0.7033492822966507
Turkiye,32.9,5.0,18.0,0.8660287081339713
United States,30.2,2.0,18.0,0.7942583732057417
Uruguay,36.8,3.0,18.0,0.9688995215311005
Uzbekistan,25.7,0.0,18.0,0.6770334928229665
