team_name,implied_home_win_avg,implied_away_win_avg,implied_draw_avg,market_confidence_avg,odds_margin_avg
Brazil,0.6748,0.1945,0.1307,0.8196,0.0699
Argentina,0.6331,0.1927,0.1742,0.6174,0.0833
France,0.7185,0.2349,0.05,0.6062,0.0885
England,0.6109,0.228,0.1611,0.6545,0.0492
Spain,0.6413,0.1318,0.2269,0.7296,0.0546
Germany,0.5733,0.223,0.2037,0.6876,0.0583
Portugal,0.692,0.2035,0.1045,0.6599,0.0657
Netherlands,0.5863,0.219,0.1947,0.7823,0.0485
Belgium,0.5783,0.205,0.2167,0.8053,0.062
Croatia,0.6025,0.1764,0.2211,0.6103,0.0855
Uruguay,0.639,0.172,0.189,0.6935,0.066
Denmark,0.5263,0.2308,0.2429,0.8909,0.0788
Switzerland,0.6244,0.2319,0.1437,0.6265,0.0498
Mexico,0.5765,0.215,0.2085,0.7166,0.0536
United States,0.5541,0.2715,0.1745,0.6843,0.0671
Canada,0.5881,0.2158,0.1961,0.6224,0.0893
Japan,0.5328,0.2578,0.2094,0.6017,0.0808
South Korea,0.613,0.2727,0.1143,0.8314,0.0437
Morocco,0.5143,0.2251,0.2606,0.8589,0.0712
Senegal,0.5271,0.2322,0.2408,0.6933,0.0563
Australia,0.5865,0.2959,0.1176,0.8662,0.0636
Poland,0.5587,0.2179,0.2233,0.8282,0.0681
Serbia,0.5336,0.3084,0.158,0.7568,0.0614
Ecuador,0.5346,0.236,0.2295,0.6943,0.0654
Colombia,0.514,0.2643,0.2217,0.7231,0.0778
Chile,0.4794,0.232,0.2886,0.8789,0.0804
Peru,0.5604,0.2673,0.1723,0.8411,0.0493
Venezuela,0.5142,0.295,0.1908,0.8422,0.0848
Ghana,0.4691,0.2452,0.2857,0.6684,0.0614
Cameroon,0.5138,0.2709,0.2154,0.6021,0.0655
Nigeria,0.423,0.2457,0.3313,0.636,0.0569
Egypt,0.4805,0.2807,0.2388,0.7556,0.0752
Algeria,0.4962,0.2637,0.2401,0.8887,0.0526
Saudi Arabia,0.3822,0.2677,0.3501,0.6855,0.0418
Iran,0.4759,0.3694,0.1547,0.6154,0.0539
Qatar,0.4581,0.285,0.2569,0.6435,0.0645
Wales,0.5196,0.3051,0.1753,0.6713,0.0764
Scotland,0.5274,0.221,0.2516,0.7901,0.0668
Turkey,0.4026,0.2565,0.3409,0.6122,0.0695
Czech Republic,0.3693,0.284,0.3467,0.7936,0.0487
Austria,0.3957,0.3453,0.259,0.881,0.0469
Hungary,0.3973,0.2725,0.3302,0.8774,0.0839
Sweden,0.4719,0.2383,0.2898,0.8452,0.0678
Norway,0.3457,0.297,0.3574,0.6279,0.0849
Ukraine,0.4338,0.3229,0.2432,0.7017,0.0575
Romania,0.4417,0.3056,0.2526,0.8661,0.079
Slovakia,0.3764,0.3051,0.3185,0.6485,0.0849
Slovenia,0.4199,0.2693,0.3108,0.6015,0.048
