team_name,penalty_win_rate,big_match_win_rate,knockout_win_rate
France,0.6507,0.6107,0.6607
Argentina,0.7222,0.6642,0.7
Brazil,0.64,0.5449,0.7004
England,0.458,0.5375,0.5466
Portugal,0.6152,0.5548,0.5951
Spain,0.4564,0.5811,0.6325
Germany,0.7582,0.5095,0.703
Netherlands,0.5646,0.5123,0.6106
Belgium,0.4786,0.471,0.4919
Uruguay,0.5314,0.501,0.5217
Croatia,0.6477,0.4914,0.547
Morocco,0.6861,0.3787,0.5068
Colombia,0.5139,0.4692,0.4953
United States,0.3901,0.3768,0.3964
Mexico,0.467,0.3049,0.3458
Japan,0.5059,0.3877,0.465
Senegal,0.5081,0.3695,0.4782
Ivory Coast,0.4471,0.352,0.4051
Ecuador,0.396,0.2938,0.3913
South Korea,0.415,0.3381,0.4039
Sweden,0.4689,0.3119,0.418
Turkiye,0.531,0.3423,0.4022
Austria,0.4442,0.329,0.414
Norway,0.4446,0.38,0.4143
Switzerland,0.3333,0.4488,0.4901
Ghana,0.4736,0.3566,0.4347
Algeria,0.4742,0.3144,0.4331
Czech Republic,0.5068,0.3583,0.4015
Egypt,0.4741,0.3382,0.414
Paraguay,0.5189,0.3806,0.4334
Scotland,0.4965,0.3635,0.4198
Bosnia and Herzegovina,0.4777,0.3365,0.4189
DR Congo,0.5478,0.3674,0.4132
Tunisia,0.4658,0.3327,0.4275
South Africa,0.4917,0.3211,0.4297
Australia,0.4629,0.3785,0.4231
Iran,0.5315,0.3408,0.4142
Saudi Arabia,0.489,0.3711,0.4313
Cape Verde,0.443,0.3537,0.4204
Uzbekistan,0.4671,0.337,0.455
Panama,0.4683,0.3331,0.4327
New Zealand,0.4839,0.3485,0.4356
Qatar,0.4947,0.3572,0.4393
Iraq,0.4885,0.3377,0.4128
Jordan,0.4644,0.3542,0.3984
Curaçao,0.425,0.3518,0.3933
Haiti,0.4214,0.3575,0.4058
