team_name,squad_total_eur,squad_avg_eur,top11_eur,data_date,avg_age,avg_caps,wc_appearances,wc_titles,wc_semifinals
England,1200000000,52000000,800000000,2026-06-03,26.4,32.0,16,1,3
France,1100000000,48000000,750000000,2026-06-03,26.2,35.0,16,2,7
Brazil,1000000000,43000000,700000000,2026-06-03,26.8,38.0,22,5,11
Portugal,900000000,39000000,650000000,2026-06-03,27.2,38.0,8,0,2
Argentina,850000000,37000000,600000000,2026-06-03,27.5,45.0,18,3,6
Spain,850000000,37000000,600000000,2026-06-03,25.5,28.0,16,1,2
Germany,750000000,32000000,550000000,2026-06-03,27.2,34.0,20,4,13
Netherlands,650000000,28000000,480000000,2026-06-03,26.6,29.0,11,0,5
Belgium,500000000,21000000,380000000,2026-06-03,27.8,40.0,14,0,2
Norway,450000000,19000000,350000000,2026-06-03,26.5,25.0,3,0,0
Uruguay,450000000,19000000,340000000,2026-06-03,26.0,31.0,14,2,5
Morocco,350000000,15000000,260000000,2026-06-03,26.5,29.0,6,0,1
United States,320000000,14000000,240000000,2026-06-03,25.1,26.0,11,0,1
Colombia,300000000,13000000,220000000,2026-06-03,26.7,30.0,6,0,0
Croatia,280000000,12000000,200000000,2026-06-03,28.2,42.0,6,0,3
Senegal,250000000,10800000,180000000,2026-06-03,27.4,32.0,3,0,0
Japan,250000000,10800000,180000000,2026-06-03,26.3,28.0,7,0,0
Ivory Coast,250000000,10800000,180000000,2026-06-03,26.5,25.0,3,0,0
Switzerland,240000000,10400000,170000000,2026-06-03,27.1,35.0,12,0,0
Mexico,220000000,9500000,160000000,2026-06-03,26.9,36.0,17,0,0
Turkiye,220000000,9500000,160000000,2026-06-03,26.5,25.0,0,0,0
Sweden,200000000,8700000,150000000,2026-06-03,26.5,25.0,12,0,4
Ecuador,200000000,8700000,150000000,2026-06-03,25.3,24.0,4,0,0
South Korea,180000000,7800000,140000000,2026-06-03,26.5,25.0,11,0,1
Austria,180000000,7800000,130000000,2026-06-03,26.5,25.0,7,0,0
Ghana,180000000,7800000,130000000,2026-06-03,26.5,25.0,4,0,0
Algeria,150000000,6500000,110000000,2026-06-03,26.5,25.0,4,0,0
Czech Republic,140000000,6000000,100000000,2026-06-03,26.5,25.0,9,0,0
Egypt,120000000,5200000,90000000,2026-06-03,26.5,25.0,3,0,0
Paraguay,120000000,5200000,90000000,2026-06-03,26.5,25.0,8,0,0
Scotland,120000000,5200000,90000000,2026-06-03,26.5,25.0,0,0,0
Bosnia and Herzegovina,90000000,3900000,70000000,2026-06-03,26.5,25.0,1,0,0
Tunisia,60000000,2600000,45000000,2026-06-03,26.5,25.0,6,0,0
DR Congo,60000000,2600000,45000000,2026-06-03,26.5,25.0,0,0,0
Australia,45000000,1900000,33000000,2026-06-03,26.5,25.0,6,0,0
Iran,45000000,1900000,33000000,2026-06-03,26.5,25.0,0,0,0
South Africa,40000000,1700000,30000000,2026-06-03,26.5,25.0,3,0,0
Saudi Arabia,35000000,1500000,25000000,2026-06-03,26.5,25.0,6,0,0
Cape Verde,30000000,1300000,22000000,2026-06-03,26.5,25.0,0,0,0
Uzbekistan,30000000,1300000,22000000,2026-06-03,26.5,25.0,0,0,0
Panama,25000000,1100000,18000000,2026-06-03,26.5,25.0,1,0,0
New Zealand,25000000,1100000,18000000,2026-06-03,26.5,25.0,2,0,0
Qatar,20000000,870000,15000000,2026-06-03,26.5,25.0,1,0,0
Iraq,15000000,650000,11000000,2026-06-03,26.5,25.0,1,0,0
Jordan,15000000,650000,11000000,2026-06-03,26.5,25.0,0,0,0
Curaçao,15000000,650000,11000000,2026-06-03,26.5,25.0,0,0,0
Haiti,15000000,650000,11000000,2026-06-03,26.5,25.0,1,0,0
