team_name,top_league_scorer_count,top_scorer_names
England,4,"Salah,Watkins,Alexander-Arnold,Palmer"
France,4,"Mbappe,Thuram,Giroud,Coman"
Brazil,4,"Vinicius Jr,Raphinha,Rodrygo,Endrick"
Portugal,4,"Cristiano Ronaldo,Rafael Leao,Bruno Fernandes,Bernardo Silva"
Argentina,4,"Lautaro Martinez,Julian Alvarez,Di Maria,Dybala"
Spain,4,"Yamal,Williams N.,Ferran Torres,Morata"
Germany,4,"Kai Havertz,Wirtz,Gnabry,Fullkrug"
Netherlands,3,"Depay,Gakpo,Brobbey"
Norway,3,"Erling Haaland,Sorloth,Odegaard"
Belgium,2,"De Bruyne,Lukaku"
Croatia,2,"Modric,Perisic"
Colombia,2,"Luis Diaz,Borja"
Uruguay,2,"Nunez,Bentancur"
Morocco,2,"Hakimi,Ziyech"
Sweden,1,"Isak"
Austria,1,"Arnautovic"
Senegal,1,"Dia"
Ivory Coast,1,"Zaha"
Switzerland,1,"Shaqiri"
Mexico,1,"Jimenez"
Japan,1,"Kubo"
Ecuador,1,"Estrada"
United States,1,"Pulisic"
Turkiye,1,"Calhanoglu"
South Korea,0,""
Ghana,0,""
Algeria,0,""
Czech Republic,0,""
Egypt,0,""
Paraguay,0,""
Scotland,0,""
Bosnia and Herzegovina,0,""
Tunisia,0,""
DR Congo,0,""
Australia,0,""
Iran,0,""
South Africa,0,""
Saudi Arabia,0,""
Cape Verde,0,""
Uzbekistan,0,""
Panama,0,""
New Zealand,0,""
Qatar,0,""
Iraq,0,""
Jordan,0,""
Curaçao,0,""
Haiti,0,""
Canada,0,""
