team_name,xg_for_avg,xg_against_avg,xg_diff_avg,xg_overperform_avg,xg_efficiency_avg,xg_consistency
Algeria,1.593,1.442,0.15100000000000005,0.207,1.1826885206737323,0.30517936438174265
Argentina,2.884,0.95,1.934,0.616,1.2457596956683417,0.4170851232062826
Australia,1.298,1.684,-0.386,0.20200000000000004,1.2667385824722657,0.46472931189385214
Austria,2.008,1.3800000000000001,0.6280000000000001,0.19199999999999995,1.0959572566962812,0.4442921961452345
Belgium,2.002,1.323,0.6789999999999999,-0.10199999999999998,0.9431066534244954,0.33766518591317324
Bosnia and Herzegovina,1.301,1.702,-0.40099999999999997,-0.20099999999999998,0.737245876731336,0.43773279520730457
Brazil,2.4509999999999996,0.825,1.6260000000000001,0.34900000000000003,1.1980330911358645,0.38344780899389963
Canada,1.496,1.407,0.08899999999999997,0.20400000000000001,1.138187641738186,0.2988199011667953
Cape Verde,1.083,1.668,-0.585,0.11699999999999999,1.0237248762782492,0.2847630594020229
Colombia,1.959,1.329,0.63,0.741,1.3862285654790514,0.28505165223945717
Croatia,2.037,1.185,0.852,-0.737,0.6589823082323523,0.3983312412776303
Curaçao,0.7889999999999999,2.035,-1.246,0.21100000000000002,1.0786745021610513,0.3532216804721301
Czech Republic,1.703,1.254,0.449,-0.0030000000000000248,0.9933921093956526,0.38401533534193366
DR Congo,1.467,1.7280000000000002,-0.26100000000000007,-0.367,0.7238226987139895,0.26812310605391687
Ecuador,1.939,1.535,0.404,0.461,1.1305019881189966,0.33063743150331776
Egypt,1.764,1.675,0.08900000000000005,-0.06400000000000006,0.9638575780728784,0.284026602822889
England,2.341,1.067,1.274,0.35900000000000004,1.1426634743995732,0.2724559087673128
France,2.804,0.5599999999999999,2.244,0.29600000000000004,1.0649770760444726,0.2852756951130297
Germany,2.428,0.876,1.552,-0.02799999999999998,0.9223655810598943,0.42585339156934177
Ghana,1.722,1.303,0.41899999999999993,-0.32199999999999995,0.8146990443402252,0.2966779024089556
Haiti,0.8,2.039,-1.2389999999999999,0.29999999999999993,1.3626570551662733,0.44108452200860043
Iran,1.375,1.6320000000000001,-0.25700000000000006,0.12500000000000003,1.078173606970716,0.5094932122544257
Iraq,1.167,1.918,-0.751,0.03300000000000001,1.283853801955137,0.4510986588319677
Ivory Coast,2.05,1.34,0.71,-0.049999999999999975,0.9690345848123085,0.3163682804721246
Japan,2.019,1.24,0.7789999999999999,0.6809999999999999,1.3873215883112155,0.4047893828208005
Jordan,1.077,1.9609999999999999,-0.884,0.123,0.9402622531560569,0.42366260160651426
Mexico,1.7739999999999998,1.399,0.375,-0.2739999999999999,0.8012143853944391,0.30148521246212606
Morocco,1.7559999999999998,1.1640000000000001,0.592,0.24400000000000005,1.1196847912652483,0.1581981879373676
Netherlands,2.645,0.751,1.8939999999999997,-0.24499999999999997,0.9060118494310763,0.3351699403122077
New Zealand,1.105,1.845,-0.74,0.195,1.20716299119675,0.37292388261174986
Norway,1.6330000000000002,1.3030000000000002,0.33,0.567,1.4576317234223708,0.39696207487477797
Panama,1.15,1.904,-0.7539999999999999,-0.050000000000000024,1.1563847112999333,0.4294440850939994
Paraguay,1.6,1.705,-0.10499999999999994,0.7,1.397464068315691,0.4263279905841928
Portugal,2.591,0.97,1.621,0.709,1.1798394922132849,0.3362356977544835
Qatar,1.089,2.0149999999999997,-0.9259999999999999,0.41100000000000003,1.270538814969097,0.4741647627378296
Saudi Arabia,1.2870000000000001,1.825,-0.5379999999999999,-0.18700000000000006,0.9046575994599471,0.3522010158354963
Scotland,1.798,1.513,0.28500000000000003,0.10199999999999998,1.082179702707457,0.40121482192627606
Senegal,1.752,1.546,0.20600000000000002,0.04800000000000002,0.9886736370672355,0.4680645729431405
South Africa,1.369,1.686,-0.317,-0.16900000000000004,0.8614395670308376,0.5644751741416288
South Korea,1.7420000000000002,1.473,0.269,0.758,1.5093139957020205,0.42041778163050036
Spain,2.5919999999999996,0.9390000000000001,1.653,0.10800000000000005,0.9731844800911871,0.43999494946596324
Sweden,1.599,1.173,0.42600000000000005,0.10099999999999998,0.9320745946735547,0.3812100616603805
Switzerland,1.6960000000000002,1.391,0.305,-0.196,0.8891132124050513,0.3092715455532385
Tunisia,1.372,1.8920000000000001,-0.5199999999999999,0.628,1.5354699312272966,0.2863098554596634
Turkiye,1.735,1.4609999999999999,0.27399999999999997,0.5650000000000001,1.268159404301307,0.41272132109801263
United States,1.7120000000000002,1.179,0.5329999999999999,0.08800000000000005,1.1043395370402465,0.3105121217887923
Uruguay,2.161,1.17,0.991,0.43900000000000006,1.0807602735652382,0.5795295026523193
Uzbekistan,1.1789999999999998,1.927,-0.748,0.12100000000000004,0.9715667318967469,0.4866084440058329
