team_name,gdp_per_capita_ppp,population
Mexico,25243.16,129739759
South Africa,15199.73,63212384
South Korea,57429.8,51712619
Czech Republic,55761.38,10864042
Canada,64219.32,40083484
Bosnia and Herzegovina,23376.22,3185073
Qatar,129367.87,2656032
Switzerland,95141.6,8888822
Brazil,21175.62,211140729
Morocco,9894.65,37712505
Haiti,3291.74,11637398
Scotland,59911.35,5753328
United States,82304.62,336806231
Paraguay,17564.49,6844146
Australia,72272.71,26659922
Turkiye,42786.2,85325965
Germany,71684.03,83287273
Curaçao,30651.59,154654
Ivory Coast,7237.18,31165654
Ecuador,15918.52,17980083
Netherlands,81728.69,17877117
Japan,50661.77,124516650
Sweden,69226.33,10536632
Tunisia,14040.6,12200431
Belgium,71946.14,11779946
Egypt,18524.84,114535772
Iran,18917.09,90608707
New Zealand,54697.38,5200000
Spain,55682.24,48352528
Cape Verde,10242.15,522331
Saudi Arabia,71564.8,33702731
Uruguay,34470.93,3388081
France,60838.94,68372286
Senegal,4777.61,18077573
Iraq,14652.52,45074049
Norway,103637.52,5519601
Argentina,30221.5,45538401
Algeria,16824.49,46164219
Austria,73544.66,9131761
Jordan,10411.84,11439213
Portugal,49352.84,10578174
DR Congo,1730.62,105789731
Uzbekistan,11106.97,35652307
Colombia,21246.38,52321152
England,59911.35,57533280
Croatia,47759.7,3859686
Ghana,7556.42,33787914
Panama,39813.39,4458759
