stadium_name,city,country,altitude_meters
Estadio Azteca,Mexico City,Mexico,2240
Estadio Akron,Guadalajara,Mexico,1560
Estadio BBVA,Monterrey,Mexico,660
BC Place,Vancouver,Canada,0
BMO Field,Toronto,Canada,76
Lumen Field,Seattle,USA,3
Levi's Stadium,San Francisco,USA,12
SoFi Stadium,Los Angeles,USA,44
AT&T Stadium,Dallas,USA,184
NRG Stadium,Houston,USA,14
Arrowhead Stadium,Kansas City,USA,269
Mercedes-Benz Stadium,Atlanta,USA,315
Hard Rock Stadium,Miami,USA,1
Lincoln Financial Field,Philadelphia,USA,3
MetLife Stadium,New York,USA,2
Gillette Stadium,Boston,USA,86
